ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,"RO-BL-Imported Block 1 - May 8, 2018",LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,"You will be presented with a description and two images. Given these two images, pick the one tha...",Desciption : jenny is happy to see mike,Desciption : jenny is kicking the soccer ball,Desciption : jenny is standing by the table,Desciption : the rocket is flying in the sky,Desciption : mike is wearing a hat,Desciption : jenny is wearing purple sunglasses,Desciption : jenny is wearing a viking hat,Desciption : jenny is standing by the tree,Desciption : jenny is holding a hot dog,Desciption : mike is wearing a hat,Desciption : a helicopter is flying in the sky,Desciption : jenny is very happy,Desciption : the cat is sitting by the fire,Desciption : mike is near a dog,Desciption : mike is wearing sun glasses,Desciption : an airplane is flying in the sky,Desciption : mike is near a snake,Desciption : jenny is sad because it is raining,Desciption : jenny is sitting by the picnic table,Desciption : jenny is standing by the fire,Desciption : mike is sad because it is raining,Desciption : mike is sitting by the cat,Desciption : mike is wearing purple sunglasses,Desciption : mike is wearing a hat,Desciption : the bear is standing by the table,Desciption : the snake is slithering by,Desciption : jenny is holding a pizza,Desciption : mike has a baseball mitt,Desciption : mike is holding a baseball bat,Desciption : jenny is sitting on the ground,Desciption : jenny is holding a bunch of balloons,Desciption : mike is sitting on the ground,Desciption : mike is wearing purple sunglasses,Desciption : jenny is holding a baseball mitt,Desciption : jenny is sitting in the sandbox,Desciption : mike is wearing purple sunglasses,Desciption : the bear is scaring mike,Desciption : mike is wearing the hat,Desciption : jenny is mad at mike,Desciption : mike is sitting by the baseball bat,Desciption : jenny is very happy,Desciption : the cat is sitting next to jenny,Desciption : jenny is holding the bat,Desciption : mike is kicking the snake,Desciption : it is raining on jenny,Desciption : mike is sitting on the ground,Desciption : the cat is sitting next to jenny,Desciption : jenny is wearing a chef hat,Desciption : jenny has a pie,Desciption : there is a pie on the table,Desciption : the bear is scaring jenny,Desciption : mike is holding a pie,Desciption : jenny is sitting in the grass,Desciption : jenny is sitting on the ground,Desciption : jenny is sitting by the snake,Desciption : mike is kicking the ball,Desciption : the balloon is flying in the sky,Desciption : the snake is in the sandbox,Desciption : jenny is sitting in the sandbox,Desciption : the dog is wearing sunglasses,Desciption : mike is kicking the soccer ball,Desciption : mike is wearing a chef hat,Desciption : the cat is sitting by jenny,Desciption : the cat is sitting next to jenny,Desciption : the cat is sitting next to jenny,Desciption : mike has a pie,Desciption : mike is wearing a hat,Desciption : mike is wearing purple sunglasses,Desciption : mike is sitting on the grass,Desciption : mike is kicking the soccer ball,Desciption : jenny is sitting in the grass,Desciption : jenny is wearing a pirate hat,Desciption : mike is wearing a hat,Desciption : mike is near a bear,Desciption : jenny is wearing purple sunglasses,Desciption : jenny is scared of the snake,Desciption : jenny is wearing a colorful hat,Desciption : mike is wearing a silly hat,Desciption : jenny is holding a baseball bat,Desciption : mike is wearing a hat,Desciption : jenny is standing by the tree,Desciption : jenny is wearing purple sunglasses,Desciption : mike and jenny are playing catch,Desciption : mike is standing by the fire,Desciption : jenny is very happy,Desciption : jenny is sitting on the grass,Desciption : mike and jenny are running from the snake,Desciption : the hot air balloon is in the sky,Desciption : jenny is wearing a crown,Desciption : jenny is wearing a colorful hat,Desciption : mike and jenny are in the sandbox,Desciption : the cat is sitting by jenny,Desciption : the cat is sitting by jenny,Desciption : the dog is watching mike and jenny,Desciption : the bear is wearing a crown,Desciption : jenny is wearing purple sunglasses,Desciption : jenny is holding the bat,Desciption : jenny is afraid of the snake,Desciption : jenny is sitting on the grass,Desciption : mike and jenny are happy,"Display Order: Imported Block 1 - May 8, 2018",LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID1'},{'ImportId': 'QID2'},{'ImportId': 'QID3'},{'ImportId': 'QID4'},{'ImportId': 'QID5'},{'ImportId': 'QID6'},{'ImportId': 'QID7'},{'ImportId': 'QID8'},{'ImportId': 'QID9'},{'ImportId': 'QID10'},{'ImportId': 'QID11'},{'ImportId': 'QID12'},{'ImportId': 'QID13'},{'ImportId': 'QID14'},{'ImportId': 'QID15'},{'ImportId': 'QID16'},{'ImportId': 'QID17'},{'ImportId': 'QID18'},{'ImportId': 'QID19'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID22'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID25'},{'ImportId': 'QID26'},{'ImportId': 'QID27'},{'ImportId': 'QID28'},{'ImportId': 'QID29'},{'ImportId': 'QID30'},{'ImportId': 'QID31'},{'ImportId': 'QID32'},{'ImportId': 'QID33'},{'ImportId': 'QID34'},{'ImportId': 'QID35'},{'ImportId': 'QID36'},{'ImportId': 'QID37'},{'ImportId': 'QID38'},{'ImportId': 'QID39'},{'ImportId': 'QID40'},{'ImportId': 'QID41'},{'ImportId': 'QID42'},{'ImportId': 'QID43'},{'ImportId': 'QID44'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID47'},{'ImportId': 'QID48'},{'ImportId': 'QID49'},{'ImportId': 'QID50'},{'ImportId': 'QID51'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID54'},{'ImportId': 'QID55'},{'ImportId': 'QID56'},{'ImportId': 'QID57'},{'ImportId': 'QID58'},{'ImportId': 'QID59'},{'ImportId': 'QID60'},{'ImportId': 'QID61'},{'ImportId': 'QID62'},{'ImportId': 'QID63'},{'ImportId': 'QID64'},{'ImportId': 'QID65'},{'ImportId': 'QID66'},{'ImportId': 'QID67'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'QID70'},{'ImportId': 'QID71'},{'ImportId': 'QID72'},{'ImportId': 'QID73'},{'ImportId': 'QID74'},{'ImportId': 'QID75'},{'ImportId': 'QID76'},{'ImportId': 'QID77'},{'ImportId': 'QID78'},{'ImportId': 'QID79'},{'ImportId': 'QID80'},{'ImportId': 'QID81'},{'ImportId': 'QID82'},{'ImportId': 'QID83'},{'ImportId': 'QID84'},{'ImportId': 'QID85'},{'ImportId': 'QID86'},{'ImportId': 'QID87'},{'ImportId': 'QID88'},{'ImportId': 'QID89'},{'ImportId': 'QID90'},{'ImportId': 'QID91'},{'ImportId': 'QID92'},{'ImportId': 'QID93'},{'ImportId': 'QID94'},{'ImportId': 'QID95'},{'ImportId': 'QID96'},{'ImportId': 'QID97'},{'ImportId': 'QID98'},{'ImportId': 'QID99'},{'ImportId': 'QID100'},{'ImportId': 'QID101'},"{'ImportId': 'RO-BL-Imported Block 1 - May 8, 2018'}",{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_0HOTmYxRDTy7cJ3,Default Response Set,108.20.245.232,2018-05-08 14:07:58,2018-05-08 14:34:04,,,,,1,0,1,,,,,,,,,,Image choice 1: 852_0,,,,Image choice 1: 860_4,,,,,,,,,,Image choice 2: 852_0,,,,Image choice 1: 898_8,,,,,,,,,,,,,,,,,,Image choice 1: 802_1,,,,Image choice 1: 838_8,,Image choice 2: 871_9,,,Image choice 1: 824_8,,,,Image choice 1: 882_0,,,,,,,,,,,,,,Image choice 1: 820_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,46|14|50|59|52|24|10|55|73|28,42.364593505859,-71.102798461914,-1
R_2dsjemIueElcn1R,Default Response Set,108.20.245.232,2018-05-08 14:34:08,2018-05-08 14:35:45,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 839_2,,,Image choice 1: 891_4,,,,Image choice 1: 815_8,,,,,,,,,,,,,Image choice 1: 879_6,,,,,,,,,,,,,Image choice 2: 869_9,Image choice 1: 841_7,Image choice 1: 816_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 890_7,Image choice 2: 880_2,Image choice 2: 895_6,,,97|34|96|51|38|31|66|98|65|64,42.364593505859,-71.102798461914,-1
R_cCQ6YPkrlBK051f,Default Response Set,65.112.8.207,2018-05-08 14:37:22,2018-05-08 14:38:34,,,,,1,0,1,,Image choice 2: 888_8,,,,,,,,,,,,,,,,,,,,Image choice 1: 855_8,,,,,,,,Image choice 1: 848_2,,,,,,,,,,,,,,Image choice 1: 893_6,Image choice 1: 811_4,,,,,,,,,,,,,Image choice 2: 874_3,,Image choice 2: 873_3,,Image choice 1: 827_5,,,,,,,,,,,,,,,,,,,,Image choice 1: 884_4,,,,,,,,,Image choice 1: 882_4,,,,,,,,,,82|45|2|22|62|30|44|91|60|58,42.380004882812,-71.13289642334,-1
R_2wBtRkLWVfHbjkg,Default Response Set,65.112.8.207,2018-05-08 14:46:53,2018-05-08 14:48:05,,,,,1,0,1,Image choice 1: 821_1,,,,,,,,,,,Image choice 2: 805_0,,,Image choice 1: 813_2,,,Image choice 1: 847_1,Image choice 1: 896_3,Image choice 1: 859_2,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 832_7,,,,,,,,,,,,Image choice 1: 870_0,,,,,,,,,,,,,Image choice 1: 847_1,Image choice 1: 832_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15|67|1|19|42|18|54|20|68|12,42.380004882812,-71.13289642334,-1
R_2AKBn3FosmKufic,Default Response Set,108.20.245.232,2018-05-08 15:25:50,2018-05-08 15:27:26,,,,,1,0,1,,,,Image choice 2: 851_9,,,,,Image choice 2: 832_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 871_3,Image choice 1: 862_0,,,,Image choice 2: 901_3,,,Image choice 2: 889_3,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 875_3,Image choice 2: 859_4,,,,,Image choice 1: 855_9,,,Image choice 2: 855_5,,,,,,,,,89|56|92|84|48|83|49|9|53|4,42.364593505859,-71.102798461914,-1
R_3HNtIHQqmW8DM1J,Default Response Set,108.20.245.232,2018-05-08 15:26:08,2018-05-08 15:28:50,,,,,1,0,1,,,,,,Image choice 1: 872_0,Image choice 2: 815_8,Image choice 1: 838_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 892_9,,,,,,,,Image choice 1: 821_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 898_1,Image choice 2: 813_1,Image choice 1: 871_9,,,,,,,,,,,,Image choice 2: 832_9,Image choice 1: 884_4,,,,,,,80|93|6|39|79|81|94|47|7|8,42.364593505859,-71.102798461914,-1
R_0BTQsWvOKjxAW1H,Default Response Set,108.20.245.232,2018-05-08 15:27:33,2018-05-08 15:28:52,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 898_4,,,,Image choice 1: 830_0,,Image choice 2: 882_5,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 889_0,,Image choice 2: 855_8,,,,,,,,Image choice 1: 867_8,Image choice 1: 829_6,,,,,,,,,,,,,Image choice 1: 845_1,Image choice 1: 851_1,,,,,,,,,,,,,,Image choice 2: 867_9,61|35|33|85|72|63|71|29|86|100,42.364593505859,-71.102798461914,-1
R_24oBPyqs4NXVnhT,Default Response Set,108.20.245.232,2018-05-08 15:28:55,2018-05-08 15:30:09,,,,,1,0,1,,Image choice 2: 888_8,,,,,,,,,,,,,,,,,Image choice 1: 896_3,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 901_2,,,,,,,,,,,,,Image choice 1: 870_0,,,,,Image choice 1: 882_0,,,,,,,,,,,Image choice 1: 806_4,,,,,,Image choice 2: 895_8,,Image choice 2: 829_4,,,,,,,,,Image choice 2: 824_5,,,,,,,,,,Image choice 2: 880_2,,,,76|19|97|87|54|70|78|59|41|2,42.364593505859,-71.102798461914,-1
R_1jGGMciDnTxwvVy,Default Response Set,108.20.245.232,2018-05-08 14:35:54,2018-05-08 15:38:46,,,,,1,0,1,,,,,Image choice 2: 869_3,,,,,,,,,,,,Image choice 1: 883_9,,,,,,Image choice 2: 858_9,,,Image choice 2: 893_9,,,,,,,,,,,Image choice 1: 879_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 2: 877_0,,,,,,,,,,,,Image choice 2: 824_5,Image choice 1: 899_9,,Image choice 2: 852_9,,,,,Image choice 1: 877_7,,,,,,87|95|75|17|26|23|88|5|90|37,42.364593505859,-71.102798461914,-1
R_2S90FCnbqkWcRpx,Default Response Set,65.112.8.11,2018-05-08 17:54:16,2018-05-08 17:55:58,,,,,1,0,1,,,,,,,,,,Image choice 1: 852_0,,,,,Image choice 2: 813_8,,,,,Image choice 1: 859_2,,Image choice 2: 855_5,Image choice 1: 882_7,,,,,Image choice 1: 898_8,,,,Image choice 2: 896_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image choice 1: 841_7,,,,,,,,,,,,,,Image choice 2: 898_1,Image choice 2: 813_1,,,,,,,,,,,,,,,,,,,,,79|15|80|23|10|65|22|20|32|28,42.380004882812,-71.13289642334,-1
R_3GfFrRzFLC7xlSg,Default Response Set,65.112.10.71,2018-05-08 21:18:02,2018-05-08 21:21:02,,,,,1,0,1,,,,,,,Image choice 2: 815_8,,,,Image choice 1: 821_0,,,,,,,Image choice 1: 847_1,,,,,,,,,,,,,Image choice 1: 839_5,,Image choice 2: 830_1,,,,,,,,,Image choice 2: 832_7,,,,Image choice 2: 886_8,,,,,,,,,Image choice 1: 824_8,,,,,,,,,,,,,,,,Image choice 1: 867_8,Image choice 2: 829_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46|7|18|33|31|55|71|11|72|42,42.380004882812,-71.13289642334,-1
R_2xL7iNjQOl5brMx,Default Response Set,65.112.8.207,2018-05-08 22:56:30,2018-05-08 22:57:21,,,,,1,0,1,,,,,,,,Image choice 1: 838_4,,,,,,,,,,,,,,,,,Image choice 2: 887_3,,,,,,,,,,,,,,Image choice 1: 892_7,,,,,,,,,Image choice 1: 871_3,Image choice 1: 862_0,,,Image choice 1: 853_9,,,,Image choice 2: 889_3,,,,,,,,,,,,Image choice 1: 832_2,,,,,,,Image choice 1: 877_4,,Image choice 2: 843_2,,,,,,,,,,,,,,,,,,,,,,,,8|39|75|77|68|56|49|25|48|52,42.380004882812,-71.13289642334,-1
